locus_tag	ftype	length_bp	gene	EC_number	COG	product
IABCJNHA_02974	CDS	849	ntdB	3.1.3.92	COG0561	Kanosamine-6-phosphate phosphatase
IABCJNHA_02975	CDS	1053	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
IABCJNHA_02976	CDS	1206	glcP		COG0738	Glucose/mannose transporter GlcP
IABCJNHA_02977	CDS	528	pchR_2			HTH-type transcriptional regulator PchR
IABCJNHA_02978	CDS	1497	oxyS	1.14.13.234		12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase
IABCJNHA_02979	CDS	507	sipV	3.4.21.89	COG0681	Signal peptidase I V
IABCJNHA_02980	CDS	624	ydjZ_3		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
IABCJNHA_02981	CDS	363				hypothetical protein
IABCJNHA_02982	CDS	201				hypothetical protein
IABCJNHA_02983	CDS	1470	yodF_2		COG0591	putative symporter YodF
IABCJNHA_02984	CDS	270				hypothetical protein
IABCJNHA_02985	CDS	900	yghA	1.-.-.-		putative oxidoreductase YghA
IABCJNHA_02986	CDS	579	comK		COG4903	Competence transcription factor
IABCJNHA_02987	CDS	234				hypothetical protein
IABCJNHA_02988	CDS	858	ydaD_1	1.-.-.-		General stress protein 39
IABCJNHA_02989	CDS	1530	petC_2	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
IABCJNHA_02990	CDS	1299	hemAT		COG0840	Heme-based aerotactic transducer HemAT
IABCJNHA_02991	CDS	561	bioY_2		COG1268	putative biotin transporter BioY
IABCJNHA_02992	CDS	1440	yhfT	6.2.1.-	COG0318	putative acyl--CoA ligase YhfT
IABCJNHA_02993	CDS	1095	yhfS	2.3.1.-	COG0183	Putative acetyl-CoA C-acetyltransferase YhfS
IABCJNHA_02994	CDS	582	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
IABCJNHA_02995	CDS	972	yhfQ		COG4594	Putative ABC transporter substrate-binding lipoprotein YhfQ
IABCJNHA_02996	CDS	993	yhfP	1.6.5.-	COG0604	Putative quinone oxidoreductase YhfP
IABCJNHA_02997	CDS	450				hypothetical protein
IABCJNHA_02998	CDS	1146	aprE	3.4.21.62	COG1404	Subtilisin E
IABCJNHA_02999	CDS	1281	htpX_3	3.4.24.-		Protease HtpX
IABCJNHA_03000	CDS	396				hypothetical protein
IABCJNHA_03001	CDS	1542	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
IABCJNHA_03002	CDS	645	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
IABCJNHA_03003	CDS	996	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
IABCJNHA_03004	CDS	735			COG1234	putative protein
IABCJNHA_03005	CDS	1290	gltT			Proton/sodium-glutamate symport protein
IABCJNHA_03006	CDS	408				hypothetical protein
IABCJNHA_03007	CDS	1041	ysdC_3	3.4.11.-	COG1363	Putative aminopeptidase YsdC
IABCJNHA_03008	CDS	777				hypothetical protein
IABCJNHA_03009	CDS	978	fabHB	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2
IABCJNHA_03010	CDS	2328	smc_2			Chromosome partition protein Smc
IABCJNHA_03011	CDS	576				hypothetical protein
IABCJNHA_03012	CDS	1413	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
IABCJNHA_03013	CDS	933	hemH	4.99.1.1	COG0276	Ferrochelatase
IABCJNHA_03014	CDS	1062	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
IABCJNHA_03015	CDS	2145	pbpF		COG0744	Penicillin-binding protein 1F
IABCJNHA_03016	CDS	501	hmoB	1.14.14.18	COG2329	Heme-degrading monooxygenase HmoB
IABCJNHA_03017	CDS	315				hypothetical protein
IABCJNHA_03018	CDS	1389				hypothetical protein
IABCJNHA_03019	CDS	1191		3.5.1.47		N-acetyldiaminopimelate deacetylase
IABCJNHA_03020	CDS	711				hypothetical protein
IABCJNHA_03021	CDS	1227				hypothetical protein
IABCJNHA_03022	CDS	744	ecsA_2		COG1131	ABC-type transporter ATP-binding protein EcsA
IABCJNHA_03023	CDS	438	hit		COG0537	Protein hit
IABCJNHA_03024	CDS	1080	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
IABCJNHA_03025	CDS	519	trpP			putative tryptophan transport protein
IABCJNHA_03026	CDS	402				hypothetical protein
IABCJNHA_03027	CDS	612	hpr		COG1846	HTH-type transcriptional regulator Hpr
IABCJNHA_03028	CDS	333	yhaI			putative protein YhaI
IABCJNHA_03029	CDS	519				hypothetical protein
IABCJNHA_03030	CDS	879	prsA	5.2.1.8	COG0760	Foldase protein PrsA
IABCJNHA_03031	CDS	213	yhaL			Sporulation protein YhaL
IABCJNHA_03032	CDS	945	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
IABCJNHA_03033	CDS	2883	yhaN		COG4717	putative protein YhaN
IABCJNHA_03034	CDS	1224	yhaO		COG0420	putative metallophosphoesterase YhaO
IABCJNHA_03035	CDS	1260	yhaP		COG1668	putative protein YhaP
IABCJNHA_03036	CDS	897		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
IABCJNHA_03037	CDS	186				hypothetical protein
IABCJNHA_03038	CDS	768	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
IABCJNHA_03039	CDS	318	khtS			K(+)/H(+) antiporter modulator KhtS
IABCJNHA_03040	CDS	498	khtT_2		COG0490	K(+)/H(+) antiporter subunit KhtT
IABCJNHA_03041	CDS	1218	khtU		COG0475	K(+)/H(+) antiporter subunit KhtU
IABCJNHA_03042	CDS	1506	hemZ	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ
IABCJNHA_03043	CDS	867	yhaX		COG0561	Stress response protein YhaX
IABCJNHA_03044	CDS	1074	yhaZ		COG4335	putative protein YhaZ
IABCJNHA_03045	CDS	354				hypothetical protein
IABCJNHA_03046	CDS	1134				hypothetical protein
IABCJNHA_03047	CDS	1092				hypothetical protein
IABCJNHA_03048	CDS	1362	yheD			Endospore coat-associated protein YheD
IABCJNHA_03049	CDS	210				hypothetical protein
IABCJNHA_03050	CDS	204				Small, acid-soluble spore protein 1
IABCJNHA_03051	CDS	621				hypothetical protein
IABCJNHA_03052	CDS	2022	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
IABCJNHA_03053	CDS	1758	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
IABCJNHA_03054	CDS	501	nhaX		COG0589	Stress response protein NhaX
IABCJNHA_03055	CDS	1362	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
IABCJNHA_03056	CDS	849	dat	2.6.1.21		D-alanine aminotransferase
IABCJNHA_03057	CDS	849		3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
IABCJNHA_03058	CDS	744	cobB	2.3.1.286	COG0846	NAD-dependent protein deacetylase
IABCJNHA_03059	CDS	1116				hypothetical protein
IABCJNHA_03060	CDS	108				hypothetical protein
IABCJNHA_03061	CDS	732	glpQ_2	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
IABCJNHA_03062	CDS	396	crcB_1			Putative fluoride ion transporter CrcB
IABCJNHA_03063	CDS	357	crcB_2		COG0239	Putative fluoride ion transporter CrcB
IABCJNHA_03064	CDS	132				hypothetical protein
IABCJNHA_03065	CDS	1206				hypothetical protein
IABCJNHA_03066	CDS	1182	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
IABCJNHA_03067	CDS	546				hypothetical protein
IABCJNHA_03068	CDS	1335				hypothetical protein
IABCJNHA_03069	CDS	600	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
IABCJNHA_03070	CDS	996	yhdN	1.1.1.-	COG0667	Aldo-keto reductase YhdN
IABCJNHA_03071	CDS	492	sigM_2		COG1595	ECF RNA polymerase sigma factor SigM
IABCJNHA_03072	CDS	1074	yhdL			putative anti-sigma-M factor YhdL
IABCJNHA_03073	CDS	291	yhdK			putative anti-sigma-M factor YhdK
IABCJNHA_03074	CDS	429				hypothetical protein
IABCJNHA_03075	CDS	1410	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
IABCJNHA_03076	CDS	1356				hypothetical protein
IABCJNHA_03077	CDS	1398	yhdG_1		COG0531	putative amino acid permease YhdG
IABCJNHA_03078	CDS	870	ydaD_2	1.-.-.-		General stress protein 39
IABCJNHA_03079	CDS	1101	citA	2.3.3.16	COG0372	Citrate synthase 1
IABCJNHA_03080	CDS	876	cysL_3		COG0583	HTH-type transcriptional regulator CysL
IABCJNHA_03081	CDS	1005	lytE	3.4.-.-		putative peptidoglycan endopeptidase LytE
IABCJNHA_03082	CDS	1377	phoA	3.1.3.1	COG1785	Alkaline phosphatase 4
IABCJNHA_03083	CDS	1407				hypothetical protein
IABCJNHA_03084	CDS	1527				hypothetical protein
IABCJNHA_03085	CDS	441	nsrR		COG1959	HTH-type transcriptional repressor NsrR
IABCJNHA_03086	CDS	1467	lytF	3.4.-.-	COG0791	Peptidoglycan endopeptidase LytF
IABCJNHA_03087	CDS	324				hypothetical protein
IABCJNHA_03088	CDS	243				hypothetical protein
IABCJNHA_03089	CDS	525	azr	1.7.-.-	COG0431	FMN-dependent NADPH-azoreductase
IABCJNHA_03090	CDS	645	liaR_3		COG2197	Transcriptional regulatory protein LiaR
IABCJNHA_03091	CDS	1140				hypothetical protein
IABCJNHA_03092	CDS	1746	pgcA	5.4.2.2		Phosphoglucomutase
IABCJNHA_03093	CDS	1665	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
IABCJNHA_03094	CDS	1491	glpK	2.7.1.30	COG0554	Glycerol kinase
IABCJNHA_03095	CDS	825	glpF		COG0580	Glycerol uptake facilitator protein
IABCJNHA_03096	CDS	576	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
IABCJNHA_03097	CDS	1338	tpa	2.6.1.77	COG0161	Taurine--pyruvate aminotransferase
IABCJNHA_03098	CDS	1542				hypothetical protein
IABCJNHA_03099	CDS	663	cbbY	3.1.3.-	COG0637	Protein CbbY
IABCJNHA_03100	CDS	423	hrp1_2		COG0517	Hypoxic response protein 1
IABCJNHA_03101	CDS	396				hypothetical protein
IABCJNHA_03102	CDS	909	rluD_2	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
IABCJNHA_03103	CDS	597	srtD	3.4.22.-	COG3764	Sortase D
IABCJNHA_03104	CDS	3588	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
IABCJNHA_03105	CDS	654				hypothetical protein
IABCJNHA_03106	CDS	969				hypothetical protein
IABCJNHA_03107	CDS	570	yhcN			putative spore germination lipoprotein YhcN
IABCJNHA_03108	CDS	456				hypothetical protein
IABCJNHA_03109	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
IABCJNHA_03110	CDS	1080				hypothetical protein
IABCJNHA_03111	CDS	831	metQ_2		COG1464	Methionine-binding lipoprotein MetQ
IABCJNHA_03112	CDS	204	cspB		COG1278	Cold shock protein CspB
IABCJNHA_03113	CDS	942				hypothetical protein
IABCJNHA_03114	CDS	918	bcrA_2			Bacitracin transport ATP-binding protein BcrA
IABCJNHA_03115	CDS	699	opuCA_2		COG1125	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
IABCJNHA_03116	CDS	366	ytrA_2		COG1725	HTH-type transcriptional repressor YtrA
IABCJNHA_03117	CDS	762				hypothetical protein
IABCJNHA_03118	CDS	375				hypothetical protein
IABCJNHA_03119	CDS	531	pnpB	1.6.5.6		p-benzoquinone reductase
IABCJNHA_03120	CDS	1599	emrB			Multidrug export protein EmrB
IABCJNHA_03121	CDS	633	aaeA			p-hydroxybenzoic acid efflux pump subunit AaeA
IABCJNHA_03122	CDS	465				hypothetical protein
IABCJNHA_03123	CDS	1179				hypothetical protein
IABCJNHA_03124	CDS	1896				hypothetical protein
IABCJNHA_03125	CDS	708				hypothetical protein
IABCJNHA_03126	CDS	714				hypothetical protein
IABCJNHA_03127	CDS	642				hypothetical protein
IABCJNHA_03128	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
IABCJNHA_03129	CDS	924				hypothetical protein
IABCJNHA_03130	CDS	1161	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
IABCJNHA_03131	CDS	624				hypothetical protein
IABCJNHA_03132	tRNA	74				tRNA-Gly(tcc)
IABCJNHA_03133	CDS	204				hypothetical protein
IABCJNHA_03134	CDS	474				hypothetical protein
IABCJNHA_03135	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
IABCJNHA_03136	CDS	507				hypothetical protein
IABCJNHA_03137	CDS	1131	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
IABCJNHA_03138	CDS	831	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
IABCJNHA_03139	CDS	999	ssuA		COG0715	Putative aliphatic sulfonates-binding protein
IABCJNHA_03140	CDS	897	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
IABCJNHA_03141	CDS	1452	katA_2	1.11.1.6	COG0753	Vegetative catalase
IABCJNHA_03142	CDS	198				hypothetical protein
IABCJNHA_03143	CDS	1356	yvdP_2	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
IABCJNHA_03144	CDS	1773	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
IABCJNHA_03145	CDS	696				hypothetical protein
IABCJNHA_03146	CDS	198				hypothetical protein
IABCJNHA_03147	CDS	777	spo0M		COG4326	Sporulation-control protein spo0M
IABCJNHA_03148	tRNA	84				tRNA-Leu(caa)
IABCJNHA_03149	CDS	885				hypothetical protein
IABCJNHA_03150	CDS	354				hypothetical protein
IABCJNHA_03151	CDS	438	perR		COG0735	Peroxide operon regulator
IABCJNHA_03152	CDS	474	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
IABCJNHA_03153	CDS	1290	hemL1	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase 1
IABCJNHA_03154	CDS	1110				hypothetical protein
IABCJNHA_03155	CDS	1743		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
IABCJNHA_03156	CDS	531				hypothetical protein
IABCJNHA_03157	CDS	261				hypothetical protein
IABCJNHA_03158	CDS	255	sspE			Small, acid-soluble spore protein gamma-type
IABCJNHA_03159	CDS	753	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
IABCJNHA_03160	CDS	225	yfhS			putative protein YfhS
IABCJNHA_03161	CDS	1314	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
IABCJNHA_03162	CDS	984	yfhP		COG1988	putative protein YfhP
IABCJNHA_03163	CDS	2586				hypothetical protein
IABCJNHA_03164	CDS	990	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
IABCJNHA_03165	CDS	861	ephA	3.3.2.10		Epoxide hydrolase A
IABCJNHA_03166	CDS	393				hypothetical protein
IABCJNHA_03167	CDS	519				hypothetical protein
IABCJNHA_03168	CDS	270				hypothetical protein
IABCJNHA_03169	CDS	153	sspK			Small, acid-soluble spore protein K
IABCJNHA_03170	CDS	1194	ydhP_2		COG2814	Inner membrane transport protein YdhP
IABCJNHA_03171	CDS	105				hypothetical protein
IABCJNHA_03172	CDS	315	yfhH			putative protein YfhH
IABCJNHA_03173	CDS	795	recX			Regulatory protein RecX
IABCJNHA_03174	CDS	912				Epimerase family protein
IABCJNHA_03175	CDS	111				hypothetical protein
IABCJNHA_03176	CDS	192				hypothetical protein
IABCJNHA_03177	CDS	585	ydjA_1	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
IABCJNHA_03178	CDS	882	yddE	5.1.-.-	COG0384	putative isomerase YddE
IABCJNHA_03179	CDS	1032	yfhA		COG0609	putative siderophore transport system permease protein YfhA
IABCJNHA_03180	CDS	1002	yfiZ_1		COG0609	putative siderophore transport system permease protein YfiZ
IABCJNHA_03181	CDS	978	yfiY		COG0614	putative siderophore-binding lipoprotein YfiY
IABCJNHA_03182	CDS	2571	mprF	2.3.2.3		Phosphatidylglycerol lysyltransferase
IABCJNHA_03183	CDS	483				hypothetical protein
IABCJNHA_03184	CDS	1557	bmr3_2			Multidrug resistance protein 3
IABCJNHA_03185	CDS	537	yfiT	3.-.-.-		Putative metal-dependent hydrolase YfiT
IABCJNHA_03186	CDS	1254	mdtG_2			Multidrug resistance protein MdtG
IABCJNHA_03187	CDS	618	yfiR			putative HTH-type transcriptional regulator YfiR
IABCJNHA_03188	CDS	1089				hypothetical protein
IABCJNHA_03189	CDS	633	estB	3.1.1.3		Extracellular esterase EstB
IABCJNHA_03190	CDS	549				hypothetical protein
IABCJNHA_03191	CDS	1158	lnrN		COG0842	Linearmycin resistance permease protein LnrN
IABCJNHA_03192	CDS	1191	lnrM		COG0842	Linearmycin resistance permease protein LnrM
IABCJNHA_03193	CDS	936	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
IABCJNHA_03194	CDS	663	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
IABCJNHA_03195	CDS	1152	lnrJ	2.7.13.3		Sensor histidine kinase LnrJ
IABCJNHA_03196	CDS	117				hypothetical protein
IABCJNHA_03197	CDS	1179	iolG_3	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
IABCJNHA_03198	CDS	942				hypothetical protein
IABCJNHA_03199	CDS	1449	iolT_3			Major myo-inositol transporter IolT
IABCJNHA_03200	CDS	945	rhaR_1			HTH-type transcriptional activator RhaR
IABCJNHA_03201	CDS	858	catE	1.13.11.2	COG2514	Catechol-2,3-dioxygenase
IABCJNHA_03202	CDS	405	catD	1.-.-.-	COG2259	Putative oxidoreductase CatD
IABCJNHA_03203	CDS	1815			COG1132	putative ABC transporter ATP-binding protein
IABCJNHA_03204	CDS	1722			COG1132	putative ABC transporter ATP-binding protein
IABCJNHA_03205	CDS	1584	malP_2		COG1263	PTS system maltose-specific EIICB component
IABCJNHA_03206	CDS	765	glvR		COG1737	HTH-type transcriptional regulator GlvR
IABCJNHA_03207	CDS	1350	glvA	3.2.1.122	COG1486	Maltose-6'-phosphate glucosidase
IABCJNHA_03208	CDS	315				hypothetical protein
IABCJNHA_03209	CDS	1224				hypothetical protein
IABCJNHA_03210	CDS	768				hypothetical protein
IABCJNHA_03211	CDS	558				hypothetical protein
IABCJNHA_03212	CDS	543				hypothetical protein
IABCJNHA_03213	CDS	330				hypothetical protein
IABCJNHA_03214	CDS	180	sspH			Small, acid-soluble spore protein H
IABCJNHA_03215	CDS	1818	acoR		COG3284	Acetoin dehydrogenase operon transcriptional activator AcoR
IABCJNHA_03216	CDS	1377	pdhD_3	1.8.1.4		Dihydrolipoyl dehydrogenase
IABCJNHA_03217	CDS	1197	pdhC_3	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
IABCJNHA_03218	CDS	1029	acoB	1.1.1.-	COG0022	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta
IABCJNHA_03219	CDS	1002	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
IABCJNHA_03220	CDS	690				hypothetical protein
IABCJNHA_03221	CDS	453				hypothetical protein
IABCJNHA_03222	CDS	978	dus	1.3.1.-		putative tRNA-dihydrouridine synthase
IABCJNHA_03223	CDS	267				hypothetical protein
IABCJNHA_03224	CDS	1401	rlmCD_1	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
IABCJNHA_03225	CDS	864				hypothetical protein
IABCJNHA_03226	CDS	960	corA_2		COG0598	Cobalt/magnesium transport protein CorA
IABCJNHA_03227	CDS	861	mmsB	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
IABCJNHA_03228	CDS	792	pdaA	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA
IABCJNHA_03229	CDS	186				hypothetical protein
IABCJNHA_03230	CDS	1122	queE_2	4.3.99.3		7-carboxy-7-deazaguanine synthase
IABCJNHA_03231	CDS	837	yfkC		COG0668	putative MscS family protein YfkC
IABCJNHA_03232	CDS	792	yfkD			putative protein YfkD
IABCJNHA_03233	CDS	1056	chaA		COG0387	Ca(2+)/H(+) antiporter ChaA
IABCJNHA_03234	CDS	1176	ycaD			putative MFS-type transporter YcaD
IABCJNHA_03235	CDS	108				hypothetical protein
IABCJNHA_03236	CDS	828				hypothetical protein
IABCJNHA_03237	CDS	321				hypothetical protein
IABCJNHA_03238	CDS	471	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
IABCJNHA_03239	CDS	216				hypothetical protein
IABCJNHA_03240	CDS	1191	ydiN			Inner membrane transport protein YdiN
IABCJNHA_03241	CDS	519	yfkM	3.2.-.-	COG0693	General stress protein 18
IABCJNHA_03242	CDS	4389	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
IABCJNHA_03243	CDS	666	yfkO	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YfkO
IABCJNHA_03244	CDS	717	treR		COG2188	HTH-type transcriptional regulator TreR
IABCJNHA_03245	CDS	1686	treA	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
IABCJNHA_03246	CDS	1413	treP		COG1263	PTS system trehalose-specific EIIBC component
IABCJNHA_03247	CDS	1542	gerAA_2			Spore germination protein A1
IABCJNHA_03248	CDS	1155	gerBC_3			Spore germination protein B3
IABCJNHA_03249	CDS	201				hypothetical protein
IABCJNHA_03250	CDS	1077				hypothetical protein
IABCJNHA_03251	CDS	1416	alsT_2		COG1115	Amino-acid carrier protein AlsT
IABCJNHA_03252	CDS	393				hypothetical protein
IABCJNHA_03253	CDS	1950	ltaS2_2		COG1368	Lipoteichoic acid synthase 2
IABCJNHA_03254	CDS	1359	nagP			PTS system N-acetylglucosamine-specific EIICB component
IABCJNHA_03255	CDS	750	mapB	3.4.11.18	COG0024	Methionine aminopeptidase 2
IABCJNHA_03256	CDS	315	yflH_2			putative protein YflH
IABCJNHA_03257	CDS	156				hypothetical protein
IABCJNHA_03258	CDS	138				hypothetical protein
IABCJNHA_03259	CDS	666	yiiM		COG2258	Protein YiiM
IABCJNHA_03260	CDS	276	acyP	3.6.1.7	COG1254	Acylphosphatase
IABCJNHA_03261	CDS	1092	nos	1.14.14.47	COG4362	Nitric oxide synthase oxygenase
IABCJNHA_03262	CDS	795	yflN	3.-.-.-	COG0491	putative metallo-hydrolase YflN
IABCJNHA_03263	CDS	1302	citM		COG2851	Mg(2+)/citrate complex secondary transporter
IABCJNHA_03264	CDS	126				hypothetical protein
IABCJNHA_03265	CDS	960				hypothetical protein
IABCJNHA_03266	CDS	681	citT		COG4565	Transcriptional regulatory protein CitT
IABCJNHA_03267	CDS	1629	citS	2.7.13.3	COG3290	Sensor protein CitS
IABCJNHA_03268	CDS	1437	yflS		COG0471	Putative malate transporter YflS
IABCJNHA_03269	CDS	1263	pel	4.2.2.2	COG3866	Pectate lyase
IABCJNHA_03270	CDS	348	yflT			General stress protein 17M
IABCJNHA_03271	CDS	411	yfmB			putative protein YfmB
IABCJNHA_03272	CDS	948	yfmC		COG4594	Fe(3+)-citrate-binding protein YfmC
IABCJNHA_03273	CDS	1002	yfiZ_2		COG0609	putative siderophore transport system permease protein YfiZ
IABCJNHA_03274	CDS	1002	fecD		COG0609	Fe(3+) dicitrate transport system permease protein FecD
IABCJNHA_03275	CDS	801	yusV_3		COG1120	putative siderophore transport system ATP-binding protein YusV
IABCJNHA_03276	CDS	1464	egtB	1.14.99.50		Hercynine oxygenase
IABCJNHA_03277	CDS	1221				hypothetical protein
IABCJNHA_03278	CDS	1020	yfmJ	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
IABCJNHA_03279	CDS	447				hypothetical protein
IABCJNHA_03280	CDS	1131	yfmL	3.6.4.13	COG0513	putative ATP-dependent RNA helicase YfmL
IABCJNHA_03281	CDS	1557	ybiT_2		COG0488	putative ABC transporter ATP-binding protein YbiT
IABCJNHA_03282	CDS	1191	yfmO			Multidrug efflux protein YfmO
IABCJNHA_03283	CDS	423	yfmP		COG0789	HTH-type transcriptional regulator YfmP
IABCJNHA_03284	CDS	447				hypothetical protein
IABCJNHA_03285	CDS	1890	uup		COG0488	ABC transporter ATP-binding protein uup
IABCJNHA_03286	CDS	855	yfmS		COG0840	Putative sensory transducer protein YfmS
IABCJNHA_03287	CDS	1458	yfmT	1.2.1.28	COG1012	Benzaldehyde dehydrogenase YfmT
IABCJNHA_03288	CDS	1386	yhdG_2		COG0531	putative amino acid permease YhdG
IABCJNHA_03289	CDS	708	yfnB	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
IABCJNHA_03290	CDS	1230	fsr			Fosmidomycin resistance protein
IABCJNHA_03291	CDS	936				hypothetical protein
IABCJNHA_03292	CDS	1179				hypothetical protein
IABCJNHA_03293	CDS	912				hypothetical protein
IABCJNHA_03294	CDS	903	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
IABCJNHA_03295	CDS	765	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
IABCJNHA_03296	CDS	1962	ltaS1_2		COG1368	Lipoteichoic acid synthase 1
IABCJNHA_03297	CDS	3186	cypD		COG0369	Bifunctional cytochrome P450/NADPH--P450 reductase 1
IABCJNHA_03298	CDS	1071				hypothetical protein
IABCJNHA_03299	CDS	1110	hpxO	1.14.13.113	COG0654	FAD-dependent urate hydroxylase
IABCJNHA_03300	CDS	504				hypothetical protein
IABCJNHA_03301	CDS	927				hypothetical protein
IABCJNHA_03302	CDS	645	yetJ		COG0670	putative protein YetJ
IABCJNHA_03303	CDS	168				hypothetical protein
IABCJNHA_03304	CDS	285	yezB		COG1366	putative protein YezB
IABCJNHA_03305	CDS	582	rsbRD_2			RsbT co-antagonist protein RsbRD
IABCJNHA_03306	CDS	495				hypothetical protein
IABCJNHA_03307	CDS	363				hypothetical protein
IABCJNHA_03308	CDS	327	hmoA	1.14.14.18	COG2329	Heme-degrading monooxygenase HmoA
IABCJNHA_03309	CDS	696				hypothetical protein
IABCJNHA_03310	CDS	1341	lplD	3.2.1.67	COG1486	Alpha-galacturonidase
IABCJNHA_03311	CDS	888	araQ_3		COG0395	L-arabinose transport system permease protein AraQ
IABCJNHA_03312	CDS	957	yteP_2		COG4209	putative multiple-sugar transport system permease YteP
IABCJNHA_03313	CDS	1509	lipO_2		COG1653	Lipoprotein LipO
IABCJNHA_03314	CDS	2574				hypothetical protein
IABCJNHA_03315	CDS	1992	yesZ	3.2.1.23	COG1874	Beta-galactosidase YesZ
IABCJNHA_03316	CDS	606	yesY	3.1.1.-	COG2755	putative rhamnogalacturonan acetylesterase YesY
IABCJNHA_03317	CDS	1818	yesX	4.2.2.24		Rhamnogalacturonan exolyase YesX
IABCJNHA_03318	CDS	1845	yesW	4.2.2.23		Rhamnogalacturonan endolyase YesW
IABCJNHA_03319	CDS	627	yesV_1		COG5578	putative protein YesV
IABCJNHA_03320	CDS	663	yesU			putative protein YesU
IABCJNHA_03321	CDS	696	rhgT	3.1.1.-	COG2755	Rhamnogalacturonan acetylesterase RhgT
IABCJNHA_03322	CDS	2286	yesS_2		COG2207	HTH-type transcriptional regulator YesS
IABCJNHA_03323	CDS	1035	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
IABCJNHA_03324	CDS	891	araQ_4		COG0395	L-arabinose transport system permease protein AraQ
